code,name,price,change,change_percent,high,low,volume,amount,total_mv,float_mv,pe,pb,turnover_rate,market
301066,万事利,13.85,-0.23,-1.63,14.37,13.82,3762200,52980000.0,32.54,2.6,92.68,16.9,1.61,深市A股
301391,卡莱特,65.6,-1.09,-1.63,68.37,65.6,759700,50840000.0,62.33,3.0,322.17,80.03,0.82,深市A股
603019,中科曙光,78.6,-1.3,-1.63,80.45,78.58,20223600,1605600000.0,1150.01,5.19,54.43,87.89,1.38,沪市A股
300787,海能实业,11.47,-0.19,-1.63,11.81,11.47,3502000,40720000.0,35.95,2.38,46.88,13.99,1.83,深市A股
301236,软通动力,36.9,-0.61,-1.63,37.85,36.85,11749100,439710000.0,381.98,2.79,211.77,45.01,1.5,深市A股
002623,亚玛顿,21.73,-0.36,-1.63,22.3,21.53,4694000,102720000.0,43.26,1.53,-34.12,24.3,2.36,深市A股
688280,精进电动-UW,9.63,-0.16,-1.63,9.96,9.59,1702569700,166260000.0,56.84,7.64,35.14,11.75,3.27,沪市A股
002672,东江环保,4.84,-0.08,-1.63,4.95,4.82,9100800,44310000.0,53.49,2.25,-4.34,5.41,1.01,深市A股
688207,格灵深瞳,13.87,-0.23,-1.63,14.35,13.81,357060700,50360000.0,35.92,1.91,-19.92,16.92,1.38,沪市A股
300271,华宇软件,6.63,-0.11,-1.63,6.82,6.6,8555500,57400000.0,53.83,1.47,-10.46,8.09,1.07,深市A股
000401,金隅冀东,4.84,-0.08,-1.63,4.96,4.83,23325600,114070000.0,128.66,0.47,58.83,5.41,0.89,深市A股
001209,洪兴股份,20.58,-0.34,-1.63,21.11,20.52,3543800,73880000.0,27.07,2.11,33.72,23.01,3.69,深市A股
300803,指南针,97.28,-1.62,-1.64,101.75,97.18,12696800,1260930000.0,593.21,21.65,260.27,118.68,2.1,深市A股
001332,锡装股份,52.34,-0.87,-1.64,54.35,52.21,1413500,74990000.0,57.83,2.29,22.66,58.53,2.94,深市A股
